feature,project,status,source,checked_on,verification_basis,notes
typed_ontology,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
typed_ontology,The_World_Avatar,yes,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Semantic Web concepts and ontologically described computational agents.
typed_ontology,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
typed_ontology,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
typed_ontology,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
typed_ontology,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
typed_ontology,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
scenario_actions,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Typed atomic scenario actions;48 replays verified.
scenario_actions,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
scenario_actions,The_World_Avatar,partial,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Agents update KG concepts/instances; equivalence to scenario-overlay action contract unverified.
scenario_actions,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
scenario_actions,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
scenario_actions,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
scenario_actions,SUMO_LLM_Agent,partial,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Agent tools edit simulation; operational ontology equivalence not established.
scenario_actions,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
persistent_KG_requirement,CiviFlux,no,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,"Per-scenario projection over immutable citypack, no global KG platform required."
persistent_KG_requirement,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
persistent_KG_requirement,The_World_Avatar,yes,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Core architecture is a dynamic knowledge graph that agents maintain.
persistent_KG_requirement,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
persistent_KG_requirement,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
persistent_KG_requirement,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
persistent_KG_requirement,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
persistent_KG_requirement,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
scenario_local_graph,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,ProjectionSpec produces paired scenario graphs.
scenario_local_graph,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
scenario_local_graph,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
scenario_local_graph,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
scenario_local_graph,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
scenario_local_graph,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
scenario_local_graph,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
scenario_local_graph,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
graph_ranking_diffusion,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Production CSR PageRank/PPR validated with 200k-edge kernel benchmark.
graph_ranking_diffusion,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
graph_ranking_diffusion,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
graph_ranking_diffusion,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
graph_ranking_diffusion,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
graph_ranking_diffusion,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
graph_ranking_diffusion,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
graph_ranking_diffusion,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
baseline_event_attention_delta,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Comparable node/seed/policy context; attention is not risk.
baseline_event_attention_delta,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
baseline_event_attention_delta,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
baseline_event_attention_delta,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
baseline_event_attention_delta,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
baseline_event_attention_delta,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
baseline_event_attention_delta,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
baseline_event_attention_delta,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
AI_scenario_parsing,CiviFlux,unknown,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Typed drafts can be validated; no natural-language parser reproduction established.
AI_scenario_parsing,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
AI_scenario_parsing,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
AI_scenario_parsing,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
AI_scenario_parsing,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
AI_scenario_parsing,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
AI_scenario_parsing,SUMO_LLM_Agent,yes,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,README and code translate conversational tasks with OpenAI Agents SDK; live paid path not exercised.
AI_scenario_parsing,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
AI_relation_scoring,CiviFlux,partial,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Featherless SimpleJev Qwen3.8-27B-classifier selected; production paid inference deferred by user.
AI_relation_scoring,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
AI_relation_scoring,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
AI_relation_scoring,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
AI_relation_scoring,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
AI_relation_scoring,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
AI_relation_scoring,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
AI_relation_scoring,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
self_host_data_local,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Reference local core/API; external inference optional and explicitly configured.
self_host_data_local,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
self_host_data_local,The_World_Avatar,partial,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Open repositories include deployment stacks; deployment-level egress/security not reproduced.
self_host_data_local,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
self_host_data_local,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
self_host_data_local,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
self_host_data_local,SUMO_LLM_Agent,partial,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Local Flask/SUMO application; LLM and map services can be external.
self_host_data_local,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
web_embeddable_component,CiviFlux,partial,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Custom-element integration implemented; consult separately executed browser evidence.
web_embeddable_component,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
web_embeddable_component,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
web_embeddable_component,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
web_embeddable_component,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
web_embeddable_component,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
web_embeddable_component,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
web_embeddable_component,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
3D_mandatory,CiviFlux,no,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Core uses 2D network;3D is not required.
3D_mandatory,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
3D_mandatory,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
